,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
11,frozenset({'race_Caucasian'}),frozenset({'readmitted_No'}),0.7332573087290069,0.6113414886999793,0.4345842836408874,0.5926763749469814,0.9694685963606211,-0.013686331077643943,0.9541762063259446
18,frozenset({'gender_Female'}),frozenset({'readmitted_No'}),0.5409496164213146,0.6113414886999793,0.32728592162554426,0.605021080873898,0.9896614119229473,-0.0034190221891449157,0.983998113519412
26,frozenset({'admission_type_id_Emergency'}),frozenset({'readmitted_No'}),0.6260626166286544,0.6113414886999793,0.3761144515861497,0.6007617155158139,0.9826941678591726,-0.006623600483016245,0.9735001035839176
31,frozenset({'discharge_disposition_id_Not Expired'}),frozenset({'readmitted_No'}),0.9807173958117354,0.6113414886999793,0.5920588845117147,0.6036997885835096,0.9875001120360409,-0.007494348237798487,0.9807173958117356
35,frozenset({'admission_source_id_Emergency Room'}),frozenset({'readmitted_No'}),0.5889487870619946,0.6113414886999793,0.3429400787891354,0.5822918500264038,0.9524821409792591,-0.01710874946139146,0.930454699829506
68,"frozenset({'race_Caucasian', 'discharge_disposition_id_Not Expired'})",frozenset({'readmitted_No'}),0.7185361808003318,0.6113414886999793,0.41986315571221233,0.5843312653296783,0.9558181084229399,-0.019407822743059966,0.9350198340230628
70,frozenset({'race_Caucasian'}),"frozenset({'readmitted_No', 'discharge_disposition_id_Not Expired'})",0.7332573087290069,0.5920588845117147,0.41986315571221233,0.5726000282765447,0.9671335795404569,-0.014268348553945487,0.9544715546968713
71,frozenset({'discharge_disposition_id_Not Expired'}),"frozenset({'readmitted_No', 'race_Caucasian'})",0.9807173958117354,0.4345842836408874,0.41986315571221233,0.4281183932346723,0.9851216653486758,-0.0063412112007873445,0.9886936555928292
84,"frozenset({'gender_Female', 'discharge_disposition_id_Not Expired'})",frozenset({'readmitted_No'}),0.5309973045822103,0.6113414886999793,0.31733360978644,0.5976181179226864,0.977552037558459,-0.007287072892524782,0.9658946603001969
87,frozenset({'gender_Female'}),"frozenset({'readmitted_No', 'discharge_disposition_id_Not Expired'})",0.5409496164213146,0.5920588845117147,0.31733360978644,0.5866232272901495,0.9908190597865141,-0.0029404166890034666,0.9868505983393011
88,frozenset({'discharge_disposition_id_Not Expired'}),"frozenset({'gender_Female', 'readmitted_No'})",0.9807173958117354,0.32728592162554426,0.31733360978644,0.32357293868921777,0.9886552317377874,-0.0036413869560075196,0.9945108894237149
97,"frozenset({'admission_type_id_Emergency', 'discharge_disposition_id_Not Expired'})",frozenset({'readmitted_No'}),0.6118598382749326,0.6113414886999793,0.36191167323242796,0.5914944086750255,0.9675351985889936,-0.012143631174297898,0.9514154017804739
99,frozenset({'admission_type_id_Emergency'}),"frozenset({'readmitted_No', 'discharge_disposition_id_Not Expired'})",0.6260626166286544,0.5920588845117147,0.36191167323242796,0.5780758403709223,0.9763823421848916,-0.008754261203218483,0.9668588683021014
101,frozenset({'discharge_disposition_id_Not Expired'}),"frozenset({'admission_type_id_Emergency', 'readmitted_No'})",0.9807173958117354,0.3761144515861497,0.36191167323242796,0.36902748414376324,0.9811574178750662,-0.0069503122542998175,0.9887681836145125
103,"frozenset({'admission_type_id_Emergency', 'admission_source_id_Emergency Room'})",frozenset({'readmitted_No'}),0.5245697698527887,0.6113414886999793,0.3090400165871864,0.5891304347826087,0.9636683354100464,-0.011651247441622992,0.9459413502540187
105,frozenset({'admission_type_id_Emergency'}),"frozenset({'readmitted_No', 'admission_source_id_Emergency Room'})",0.6260626166286544,0.3429400787891354,0.3090400165871864,0.4936247723132969,1.439390735711627,0.09433805351362337,1.2975751681466354
107,frozenset({'admission_source_id_Emergency Room'}),"frozenset({'admission_type_id_Emergency', 'readmitted_No'})",0.5889487870619946,0.3761144515861497,0.3090400165871864,0.5247315613448337,1.3951379935866224,0.08752786652903621,1.3127014076070682
110,"frozenset({'discharge_disposition_id_Not Expired', 'admission_source_id_Emergency Room'})",frozenset({'readmitted_No'}),0.5757827078581795,0.6113414886999793,0.32977399958532033,0.5727403673028448,0.9368583318642091,-0.022225858204404425,0.9096541811042205
112,frozenset({'discharge_disposition_id_Not Expired'}),"frozenset({'readmitted_No', 'admission_source_id_Emergency Room'})",0.9807173958117354,0.3429400787891354,0.32977399958532033,0.3362579281183932,0.9805151072037548,-0.006553301404231937,0.989932609436977
113,frozenset({'admission_source_id_Emergency Room'}),"frozenset({'readmitted_No', 'discharge_disposition_id_Not Expired'})",0.5889487870619946,0.5920588845117147,0.32977399958532033,0.559936630874846,0.9457448330272744,-0.01891836231713162,0.9270053908355795
